dataset_number/I:physics_short/C:crossSection/D:genFiltEff/D:kFactor/D:relUncertUP/D:relUncertDOWN/D:generator_name/C
999999         VBFHAltSignal                                               3.782          5.1260E-01          1.0            0.0            0.0            Powheg+Pythia8(v.230)+EvtGen(v.1.6.0)e7613
305186         Sherpa_CT10_Znunu2JetsEW1JetQCD15GeV_ckkw15                 12.649         1.0000E+00          1.0            0.0            0.0            Sherpa(v2.1.1)
362000         Sherpa_CT10_Znunu_Pt0_70_CVetoBVeto_ckkw15                  11966.0        0.776316003959      0.991312       0.0            0.0            Sherpa(v2.1.1)
362008         Sherpa_CT10_Znunu_Pt0_70_CFilterBVeto_ckkw15                11966.0        0.14167378997       0.991312       0.0            0.0            Sherpa(v2.1.1)
362016         Sherpa_CT10_Znunu_Pt0_70_BFilter_ckkw15                     11966.0        0.0819079604995     0.991312       0.0            0.0            Sherpa(v2.1.1)
362024         Sherpa_CT10_Znunu_Pt70_140_CVetoBVeto_ckkw15                410.56         0.64826603156       0.991312       0.0            0.0            Sherpa(v2.1.1)
362032         Sherpa_CT10_Znunu_Pt70_140_CFilterBVeto_ckkw15              410.56         0.219443248097      0.991312       0.0            0.0            Sherpa(v2.1.1)
362040         Sherpa_CT10_Znunu_Pt70_140_BFilter_ckkw15                   410.56         0.133852046339      0.991312       0.0            0.0            Sherpa(v2.1.1)
362048         Sherpa_CT10_Znunu_Pt140_280_CVetoBVeto_ckkw15               59.867         0.617500253306      0.991312       0.0            0.0            Sherpa(v2.1.1)
362056         Sherpa_CT10_Znunu_Pt140_280_CFilterBVeto_ckkw15             59.867         0.244643364222      0.991312       0.0            0.0            Sherpa(v2.1.1)
362064         Sherpa_CT10_Znunu_Pt140_280_BFilter_ckkw15                  59.867         0.149380655048      0.991312       0.0            0.0            Sherpa(v2.1.1)
362072         Sherpa_CT10_Znunu_Pt280_500_CVetoBVeto_ckkw15               4.0858         0.587491787963      0.991312       0.0            0.0            Sherpa(v2.1.1)
362080         Sherpa_CT10_Znunu_Pt280_500_CFilterBVeto_ckkw15             4.0858         0.254297414609      0.991312       0.0            0.0            Sherpa(v2.1.1)
362088         Sherpa_CT10_Znunu_Pt280_500_BFilter_ckkw15                  4.0858         0.15996479835       0.991312       0.0            0.0            Sherpa(v2.1.1)
362096         Sherpa_CT10_Znunu_Pt500_700_CVetoBVeto_ckkw15               0.2406         0.570787983713      0.991312       0.0            0.0            Sherpa(v2.1.1)
362104         Sherpa_CT10_Znunu_Pt500_700_CFilterBVeto_ckkw15             0.2406         0.271911602052      0.991312       0.0            0.0            Sherpa(v2.1.1)
